AT_load_actual_entsoe_transparency,temperature_2m (°C),rain (mm),relative_humidity_2m (%),sunshine_duration (s),Hour,DayOfWeek,Month,Is_Weekend,Hour_sin,Hour_cos,Month_sin,Month_cos,Is_Holiday,Load_Lag_1h,Load_Lag_24h,Load_Lag_168h,Load_Rolling_Mean_24h,Temp_Rolling_Mean_24h
7148.0,-0.1,0.0,67,0.0,20,4,4,0,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,7290.0,7424.0,6594.0,7555.083333333333,-5.2124999999999995
6664.0,-3.0,0.0,79,0.0,21,4,4,0,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0,7148.0,6899.0,6095.0,7543.583333333333,-4.833333333333333
6286.0,-3.8,0.0,80,0.0,22,4,4,0,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0,6664.0,6553.0,5737.0,7533.791666666667,-4.516666666666667
5911.0,-5.4,0.0,80,0.0,23,4,4,0,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0,6286.0,6244.0,5404.0,7522.666666666667,-4.287499999999999
5757.0,-3.8,0.0,79,0.0,0,5,4,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,5911.0,6111.0,5221.0,7508.791666666667,-4.083333333333333
5570.0,-6.4,0.0,80,0.0,1,5,4,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,5757.0,6012.0,5015.0,7494.041666666667,-3.7958333333333325
5565.0,-5.9,0.0,77,0.0,2,5,4,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,5570.0,6145.0,5109.0,7475.625,-3.545833333333333
5765.0,-5.9,0.0,76,0.0,3,5,4,1,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,5565.0,6776.0,5335.0,7451.458333333333,-3.237499999999999
6044.0,-5.0,0.0,74,0.0,4,5,4,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,5765.0,7666.0,5556.0,7409.333333333333,-2.8749999999999996
6610.0,-6.8,0.0,76,2729.39,5,5,4,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,6044.0,8448.0,6127.0,7341.75,-2.4624999999999995
7016.0,-1.6,0.0,62,3600.0,6,5,4,1,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,6610.0,8614.0,6596.0,7265.166666666667,-2.166666666666666
7297.0,-0.5,0.0,69,3600.0,7,5,4,1,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,7016.0,8570.0,6927.0,7198.583333333333,-1.9374999999999993
7444.0,2.6,0.0,60,3600.0,8,5,4,1,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,7297.0,8603.0,7049.0,7145.541666666667,-1.7166666666666661
7432.0,5.3,0.0,48,3600.0,9,5,4,1,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,7444.0,8566.0,7056.0,7097.25,-1.416666666666666
7225.0,5.7,0.0,47,3600.0,10,5,4,1,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,7432.0,8322.0,6794.0,7050.0,-1.1124999999999994
6984.0,6.9,0.0,43,3600.0,11,5,4,1,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0,7225.0,8173.0,6540.0,7004.291666666667,-0.8624999999999994
6772.0,7.6,0.0,47,3600.0,12,5,4,1,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0,6984.0,7996.0,6356.0,6954.75,-0.6333333333333326
6698.0,6.6,0.0,47,3600.0,13,5,4,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,6772.0,7924.0,6310.0,6903.75,-0.4541666666666661
6699.0,5.8,0.0,52,3600.0,14,5,4,1,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0,6698.0,7779.0,6265.0,6852.666666666667,-0.31249999999999933
6948.0,5.0,0.0,59,3600.0,15,5,4,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0,6699.0,7836.0,6402.0,6807.666666666667,-0.1833333333333327
7065.0,3.2,0.1,76,0.0,16,5,4,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0,6948.0,7889.0,6429.0,6770.666666666667,-0.0124999999999994
6886.0,1.3,0.4,90,0.0,17,5,4,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,7065.0,7728.0,6320.0,6736.333333333333,0.1041666666666673
6771.0,1.2,0.6,93,0.0,18,5,4,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0,6886.0,7754.0,6358.0,6701.25,0.10833333333333396
6333.0,-0.0,0.4,99,0.0,19,5,4,1,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0,6771.0,7290.0,5979.0,6660.291666666667,0.13333333333333397
6267.0,-0.1,0.3,99,0.0,20,5,4,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,6333.0,7148.0,5959.0,6620.416666666667,0.12500000000000064
5838.0,0.0,0.2,99,0.0,21,5,4,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0,6267.0,6664.0,5562.0,6583.708333333333,0.12500000000000064
5545.0,-0.2,0.1,99,0.0,22,5,4,1,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0,5838.0,6286.0,5213.0,6549.291666666667,0.2500000000000006
5216.0,-0.7,0.0,98,0.0,23,5,4,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0,5545.0,5911.0,4909.0,6518.416666666667,0.40000000000000063
5134.0,-1.1,0.0,92,0.0,0,6,4,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,5216.0,5757.0,4826.0,6489.458333333333,0.595833333333334
4987.0,-1.7,0.0,93,0.0,1,6,4,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,5134.0,5570.0,4669.0,6463.5,0.7083333333333339
4923.0,-1.4,0.0,96,0.0,2,6,4,1,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,4987.0,5565.0,4656.0,6439.208333333333,0.9041666666666672
5057.0,-1.6,0.0,95,0.0,3,6,4,1,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,4923.0,5765.0,4789.0,6412.458333333333,1.0916666666666675
5177.0,-1.8,0.0,93,0.0,4,6,4,1,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,5057.0,6044.0,4897.0,6382.958333333333,1.270833333333334
5611.0,-2.0,0.0,92,0.0,5,6,4,1,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,5177.0,6610.0,5356.0,6346.833333333333,1.4041666666666675
5924.0,-2.1,0.0,84,0.0,6,6,4,1,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,5611.0,7016.0,5690.0,6305.208333333333,1.6041666666666672
6220.0,-1.6,0.0,80,3600.0,7,6,4,1,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,5924.0,7297.0,6028.0,6259.708333333333,1.583333333333334
6461.0,-1.1,0.0,78,1628.99,8,6,4,1,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,6220.0,7444.0,6220.0,6214.833333333333,1.5375000000000005
6660.0,0.2,0.0,68,3600.0,9,6,4,1,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,6461.0,7432.0,6305.0,6173.875,1.3833333333333337
6396.0,1.2,0.0,57,3600.0,10,6,4,1,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,6660.0,7225.0,6028.0,6141.708333333333,1.170833333333334
6134.0,1.7,0.0,54,1816.87,11,6,4,1,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0,6396.0,6984.0,5838.0,6107.166666666667,0.983333333333334
5942.0,1.9,0.0,60,1874.14,12,6,4,1,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0,6134.0,6772.0,5710.0,6071.75,0.7666666666666674
5847.0,2.2,0.0,54,2455.21,13,6,4,1,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,5942.0,6698.0,5696.0,6037.166666666667,0.5291666666666673
5814.0,2.6,0.0,55,3600.0,14,6,4,1,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0,5847.0,6699.0,5685.0,6001.708333333333,0.34583333333333394
5986.0,2.2,0.0,61,605.64,15,6,4,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0,5814.0,6948.0,5838.0,5964.833333333333,0.21250000000000066
6237.0,1.4,0.0,72,3404.26,16,6,4,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0,5986.0,7065.0,5992.0,5924.75,0.095833333333334
6305.0,0.2,0.0,83,2789.26,17,6,4,1,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,6237.0,6886.0,6028.0,5890.25,0.020833333333334
6476.0,-0.4,0.0,87,1546.75,18,6,4,1,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0,6305.0,6771.0,6114.0,5866.041666666667,-0.02499999999999934
6230.0,-1.4,0.0,91,0.0,19,6,4,1,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0,6476.0,6333.0,5771.0,5853.75,-0.09166666666666601
6327.0,-1.1,0.0,92,0.0,20,6,4,1,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,6230.0,6267.0,5811.0,5849.458333333333,-0.14999999999999933
5942.0,-1.4,0.0,93,0.0,21,6,4,1,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0,6327.0,5838.0,5421.0,5851.958333333333,-0.19166666666666599
5738.0,-1.2,0.0,92,0.0,22,6,4,1,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0,5942.0,5545.0,5111.0,5856.291666666667,-0.24999999999999933
5514.0,-1.4,0.0,91,0.0,23,6,4,1,-0.25881904510252157,0.9659258262890681,0.8660254037844387,-0.4999999999999998,0,5738.0,5216.0,4832.0,5864.333333333333,-0.291666666666666
5451.0,-1.6,0.0,88,0.0,0,0,4,0,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,5514.0,5134.0,4765.0,5876.75,-0.3208333333333327
5372.0,-1.6,0.0,91,0.0,1,0,4,0,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,5451.0,4987.0,4629.0,5889.958333333333,-0.34166666666666595
5584.0,-2.0,0.0,93,0.0,2,0,4,0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,5372.0,4923.0,4704.0,5906.0,-0.3374999999999993
6319.0,-3.8,0.0,93,0.0,3,0,4,0,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,5584.0,5057.0,4902.0,5933.541666666667,-0.3624999999999994
7298.0,-5.1,0.0,91,0.0,4,0,4,0,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,6319.0,5177.0,5009.0,5986.125,-0.454166666666666
8146.0,-4.5,0.0,92,3183.28,5,0,4,0,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,7298.0,5611.0,5511.0,6074.5,-0.5916666666666659
8335.0,-0.6,0.0,77,3600.0,6,0,4,0,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,8146.0,5924.0,5877.0,6180.125,-0.6958333333333325
8210.0,2.5,0.0,58,3600.0,7,0,4,0,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,8335.0,6220.0,6177.0,6280.583333333333,-0.6333333333333326
8241.0,3.2,0.0,62,3600.0,8,0,4,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,8210.0,6461.0,6372.0,6363.5,-0.4624999999999993
8262.0,4.7,0.0,61,3600.0,9,0,4,0,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,8241.0,6660.0,6546.0,6437.666666666667,-0.2833333333333326
7970.0,6.3,0.0,54,3600.0,10,0,4,0,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,8262.0,6396.0,6367.0,6504.416666666667,-0.09583333333333262
7891.0,6.4,0.0,56,3600.0,11,0,4,0,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0,7970.0,6134.0,6127.0,6570.0,0.11666666666666736
7708.0,11.1,0.0,39,3600.0,12,0,4,0,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0,7891.0,5942.0,5945.0,6643.208333333333,0.3125000000000007
7605.0,8.8,0.0,42,3600.0,13,0,4,0,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,7708.0,5847.0,5855.0,6716.791666666667,0.6958333333333341
7548.0,8.8,0.0,43,3600.0,14,0,4,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0,7605.0,5814.0,5888.0,6790.041666666667,0.9708333333333341
